datum,organisatie,aantal_gegevens,soort_gegevens,url,cached
2015-12-31,Invers,250000,naw;email;bankrekening,http://www.nu.nl/internet/4190908/softwaredienstverlener-lekt-persoonsgegevens-kwart-miljoen-nederlanders.html,https://pinboard.in/cached/fd5af53fe784/
2015-12-01,Antoni van Leeuwenhoek Ziekenhuis,781,naw;geboortedatum;medische gegevens,http://www.avl.nl/topmenu/over-avl/nieuws/persbericht-externe-harde-schijf-onderzoeker-antoni-van-leeuwenhoek-ontvreemd/,
